,Year_Site,Year_JulianDay_Site,Year_Round_Site,Site,Year_Round,Year,Year_JulianDay,HabitatType,Round,Flwr_Rich,Flwr_cov_perc,Bee_rich,Bee_abun,Abun_BB,Abun_SB,Notes,JulianDay,SumDD5,Treatment,YearMA,Treatment_Year,BterrAbun,BBAbun_notBterr,Blap,BBAbun_notBlap,LandscapeFlwrCov,LastYearAvgLFC,CumulativeLFC,LastYearCumulativeLFC
253,2018_P1,2018_117_P1,2018_1_P1,P1,2018_1,2018,2018_117,Pasture,1,NA,NA,7,10,0,10,missing flower data,117,315.8,CIL,NA,CIL_NA,0,0,0,0,1.573314445,NA,1.573314445,NA
262,2018_P12,2018_117_P12,2018_1_P12,P12,2018_1,2018,2018_117,Pasture,1,12,13.81513422,5,6,0,6,,117,315.8,CIL,NA,CIL_NA,0,0,0,0,1.607899803,NA,1.607899803,NA
381,2018_S2,2018_117_S2,2018_1_S2,S2,2018_1,2018,2018_117,Species Rich Grassland,1,9,8.018862867,10,22,0,22,,117,315.8,CIL,NA,CIL_NA,0,0,0,0,1.28640686,NA,1.28640686,NA
384,2018_S3,2018_117_S3,2018_1_S3,S3,2018_1,2018,2018_117,Species Rich Grassland,1,5,1.18783126,6,12,0,12,,117,315.8,CIL,NA,CIL_NA,0,0,0,0,1.136649439,NA,1.136649439,NA
450,2018_W3,2018_117_W3,2018_1_W3,W3,2018_1,2018,2018_117,Water Retention Site,1,14,0.989836667,15,45,0,45,,117,315.8,MA,2020,MA_2020,0,0,0,0,1.768073125,NA,1.768073125,NA
214,2018_H12,2018_127_H12,2018_1_H12,H12,2018_1,2018,2018_127,Hedge,1,4,0.8938681,1,2,0,2,,127,396.8,CIL,NA,CIL_NA,0,0,0,0,0.034854295,NA,0.107914789,NA
220,2018_H14,2018_127_H14,2018_1_H14,H14,2018_1,2018,2018_127,Hedge,1,4,0.372370993,0,0,0,0,,127,396.8,CIL,NA,CIL_NA,0,0,0,0,0.159158338,NA,0.437397266,NA
229,2018_H2,2018_127_H2,2018_1_H2,H2,2018_1,2018,2018_127,Hedge,1,8,1.840712897,1,1,0,1,,127,396.8,CIL,NA,CIL_NA,0,0,0,0,0.026238926,NA,0.074247246,NA
232,2018_H3,2018_127_H3,2018_1_H3,H3,2018_1,2018,2018_127,Hedge,1,6,0.11512576,2,2,0,2,,127,396.8,MA,2020,MA_2020,0,0,0,0,0.04334421,NA,0.139180521,NA
32,2018_CH1,2018_128_CH1,2018_1_CH1,CH1,2018_1,2018,2018_128,Hedge,1,4,1.181563707,0,0,0,0,,128,412.5,COL,NA,COL_NA,0,0,0,0,0.067618195,NA,0.312355458,NA
35,2018_CH2,2018_128_CH2,2018_1_CH2,CH2,2018_1,2018,2018_128,Hedge,1,9,0.365413793,0,0,0,0,,128,412.5,COL,NA,COL_NA,0,0,0,0,0.106539674,NA,0.500362753,NA
38,2018_CH4,2018_128_CH4,2018_1_CH4,CH4,2018_1,2018,2018_128,Hedge,1,3,4.913439267,2,2,1,1,,128,412.5,COL,NA,COL_NA,0,1,0,1,0.076425541,NA,0.350849214,NA
