pop,quadrat,number,nSeeds,totalWeight,seedWeight,X,indName,DNA,Chosen,nSeeds,germination 12-6,comments,sown,extra
Sma,9,2,68,0.0154,0.000226471,,sma 9 2,Yes,Yes,5,4,,,
Sma,10,3,96,0.0285,0.000296875,,sma 10 3,Yes,Yes,5,1,,0,
Sma,8,1,69,0.0214,0.000310145,,sma 8 1,Yes,Yes,5,3,,2,1
Sma,1,1,21,0.0066,0.000314286,,sma 1 1,Yes,Yes,5,5,,2,2
Sma,4,5,30,0.01,0.000333333,,sma 4 5,No,Yes,5,3,,2,3
Sma,3,4,35,0.0047,0.000134286,,sma 3 4,No,Yes,5,5,,,
Sma,3,2,48,0.01,0.000208333,,sma 3 2,No,Yes,5,4,,,
Sma,8,4,24,0.0057,0.0002375,,sma 8 4,No,Yes,5,1,sma 10-4,0,
Sma,1,6,21,0.004,0.000190476,,sma 1 6,No,Yes,5,3,,,
Sma,6,5,21,0.0024,0.000114286,,sma 6 5,No,Yes,5,0,veel schimmel 12-6;,0,
Hel,10,3,35,0.0055,0.000157143,,hel 10 3,Yes,Yes,10,0,,3,
Hel,10,1,78,0.0155,0.000198718,,hel 10 1,Yes,Yes,10,2,,,
Hel,8,4,21,0.0055,0.000261905,,hel 8 4,Yes,Yes,10,2,,3,
Hel,7,1,79,0.0148,0.000187342,,hel 7 1,Yes,Yes,10,2,,6,
Hel,9,1,55,0.0081,0.000147273,,hel 9 1,Yes,Yes,10,3,,,
Hel,1,1,60,0.0108,0.00018,,hel 1 1,Yes,Yes,10,3,,,
Hel,2,3,57,0.1,0.001754386,,hel 2 3,Yes,Yes,10,0,,,
Hel,2,1,52,0.0082,0.000157692,,hel 2 1,Yes,Yes,10,4,,,
Hel,3,1,77,0.0168,0.000218182,,hel 3 1,Yes,Yes,10,1,,,
Hel,3,2,97,0.0158,0.000162887,,hel 3 2,Yes,Yes,10,3,,,
Bov,6,3,56,0.0078,0.000139286,,bov 6 3,Yes,Yes,10,3,,4,
Bov,1,3,50,0.0095,0.00019,,bov 1 3,Yes,Yes,10,9,,4,
Bov,8,4,25,0.0051,0.000204,,bov 8 4,Yes,Yes,10,6,,4,
Bov,4,2,50,0.0058,0.000116,,bov 4 2,Yes,Yes,10,0,beetje schimmel 12-6,2,
Bov,7,2,38,0.0077,0.000202632,,bov 7 2,Yes,Yes,10,3,beetje schimmel 12-6,4,
Bov,1,2,37,0.0067,0.000181081,,bov 1 2,Yes,Yes,10,2,,4,
Bov,7,4,58,0.0219,0.000377586,,bov 7 4,Yes,Yes,10,9,,4,
Bov,8,1,46,0.0074,0.00016087,,bov 8 1,Yes,Yes,10,5,,4,
Bov,10,2,65,0.0114,0.000175385,,bov 10 2,No,Yes,10,7,,6,4
Bov,6,6,90,0.0124,0.000137778,,bov 6 6,No,Yes,10,8,,4,
Hje,8,5,211,0.0346,0.000163981,,hje 8 5,No,Yes,5,2,,2,
Hje,10,4,138,0.026,0.000188406,,hje 10 4,No,Yes,10,4,,3,
Hje,4,3,21,0.0041,0.000195238,,hje 4 3,Yes,Yes,10,3,,4,
Hje,2,4,26,0.0038,0.000146154,,hje 2 4,Yes,Yes,10,3,,3,
Hje,4,4,130,0.0247,0.00019,,hje 4 4,No,Yes,5,2,,1,
Hje,8,1,71,0.0112,0.000157746,,hje 8 1,No,Yes,5,2,,1,
Hje,7,5,52,0.0071,0.000136538,,hje 7 5,No,Yes,5,3,,2,
Hje,3,2,56,0.0091,0.0001625,,hje 3 2,Yes,Yes,10,3,,4,
Hje,2,5,67,0.0079,0.00011791,,hje 2 5,No,Yes,5,3,,2,
Hje,4,5,60,0.0076,0.000126667,,hje 4 5,No,Yes,10,5,,5,
Spi,6,1,50,0.0101,0.000202,,spi 6 1,Yes,Yes,5,4,,,
Spi,3,3,72,0.0179,0.000248611,,spi 3 3,Yes,Yes,5,4,,,
Spi,6,4,25,0.0067,0.000268,,spi 6 4,Yes,Yes,5,3,,,
Spi,4,4,52,0.0094,0.000180769,,spi 4 4,Yes,Yes,5,5,,,
Spi,4,1,37,0.0075,0.000202703,,spi 4 1,Yes,Yes,5,5,,,
Spi,8,2,68,0.0136,2.00E-04,,spi 8 2,Yes,Yes,5,3,,,
Spi,10,1,47,0.0135,0.000287234,,spi 10 1,Yes,Yes,5,4,,,
Spi,9,1,33,0.01,0.00030303,,spi 9 1,Yes,Yes,5,4,,,
Spi,9,3,26,0.0072,0.000276923,,spi 9 3,Yes,Yes,5,4,,,
Spi,10,3,74,0.0163,0.00022027,,spi 10 3,Yes,Yes,5,5,,,
Lae,10,2,35,0.0069,0.000197143,,lae 10 2,Yes,Yes,5,3,,,
Lae,7,6,42,0.0073,0.00017381,,lae 7 6,No,Yes,5,5,,,
Lae,2,4,38,0.0048,0.000126316,,lae 2 4,No,Yes,5,4,,,
Lae,10,3,41,0.0064,0.000156098,,lae 10 3,No,Yes,5,4,,,
Lae,7,3,29,0.0042,0.000144828,,lae 7 3,Yes,Yes,6,5,extra seed?,,
Lae,6,5,29,0.0066,0.000227586,,lae 6 5,No,Yes,5,5,,,
Lae,3,3,70,0.0158,0.000225714,,lae 3 3,Yes,Yes,5,3,,,
Lae,3,6,39,0.0065,0.000166667,,lae 3 6,No,Yes,5,1,,1,
Lae,7,7,31,0.0051,0.000164516,,lae 7 7,No,Yes,5,4,,,
Lae,2,5,71,0.0136,0.000191549,,lae 2 5,Yes,Yes,5,5,,,
Sae,6,1,27,0.0029,0.000107407,,sae 6 1,Yes,Yes,10,7,,7,
Sae,2,1,25,0.0028,0.000112,,sae 2 1,Yes,Yes,10,6,,6,
Sae,10,3,70,0.0103,0.000147143,,sae 10 3,Yes,Yes,10,1,,0,
Sae,9,5,35,0.0073,0.000208571,,sae 9 5,No,Yes,10,0,,1,
Sae,10,2,63,0.0101,0.000160317,,sae 10 2,Yes,Yes,10,1,,0,
Sae,5,4,46,0.0049,0.000106522,,sae 5 4,Yes,Yes,10,5,,6,
Sae,7,3,42,0.0051,0.000121429,,sae 7 3,Yes,Yes,10,2,,3,
Sae,10,5,112,0.0157,0.000140179,,sae 10 5,No,Yes,10,3,,2,
Sae,5,2,93,0.0096,0.000103226,,sae 5 2,Yes,Yes,10,3,,4,
Sae,5,1,154,0.0184,0.000119481,,sae 5 1,No,Yes,10,2,,6,
Ard,1,2,26,0.0059,0.000226923,,ard 1 2,No,yes,10,5,,4,2
Ard,2,4,31,0.0078,0.000251613,,ard 2 4,No,yes,10,7,,4,4
Ard,6,1,51,0.0077,0.00015098,,ard 6 1,No,yes,10,6,,4,
Ard,6,4,26,0.0056,0.000215385,,ard 6 4,Yes,yes,10,7,,4,4
Ard,6,7,109,0.0172,0.000157798,,ard 6 7,No,yes,10,8,,4,
Ard,6,8,74,0.0127,0.000171622,,ard 6 8,No,yes,10,3,,4,
Ard,6,9,91,0.0158,0.000173626,,ard 6 9,No,yes,10,3,,4,1
Ard,8,3,35,0.0044,0.000125714,,ard 8 3,Yes,yes,10,6,,4,2
Ard,8,5,29,0.0052,0.00017931,,ard 8 5,No,yes,10,10,,4,
Ard,8,6,52,0.0067,0.000128846,,ard 8 6,No,yes,10,1,,1,
