"","pop2","X.3","X.2","X.1.x","X.x","latitude","longitude","meta.population","population.size","Mean.diurnal.range","Isothermality","temp.seasonality","Annual.prec.","X.1.y","X.y","Al","Ca","Fe","K","Mg","Mn","P","S","Si","Zn","Na"
"1","pop1",2,2,2,2,54.2730488429349,2.35574633654766,"very East","66",63.97049289,292,5454.58304,742.058624,49.5,49.5,102115.945,22751.8,52475.12,8873.465,13917.095,2442.95,15756.26,8775.67,7334.2,203.895,10953.44
"2","pop10",10,10,10,10,50.7381877457686,8.28015481295995,"middle",">5000",68,297.0028845,5662.771494,837.0290704,57.5,57.5,645834.705,378234.92,624710.275,79325.24,335571.965,21030.28,36974.155,57718.355,28703.86,106165.51,15959.965
"3","pop11",11,11,11,11,52.6305890144091,9.40220827589184,"less East","784",70,294,5845.888765,738.1713254,58.5,58.5,909969.465,714202.13,452983.41,124100.64,395370.275,23230.305,25785.955,11766.975,26817.415,1620.58,20862.055
"4","pop12",12,12,12,12,48.995981781235,5.25008405964635,"less west",">5000",66,289,5729.982856,794.0204306,59.5,59.5,78086.655,49645.67,80984.83,2725.435,5704.825,417.375,6757.7,9622.995,1040.03,468.655,2732.41
"5","pop13",13,13,13,13,51.9639899280388,10.3467648885939,"less East","2000",64,283.0810018,5770.120541,848.5490589,60.5,60.5,418585.825,80144.88,138925.085,25751.77,44918.235,1497.625,16675.93,16645.44,10970.815,772.935,13982.705
"6","pop14",14,14,14,14,53.2979348352011,13.0253906531353,"less East",">5000",65,271,6223.561709,560.9258668,61.5,61.5,23048.88,119725.485,23322.275,2149.37,6663.715,558.925,7398.78,39863.115,1528.615,89.67,3239.21
"7","pop15",15,15,15,15,50.7735003017355,7.70394745347835,"middle","1274",65,294,5499.304597,779.4974021,62.5,62.5,244168.41,76454.35,91927.645,23953.935,47412.245,2144.16,16394.45,28987.015,13366.5,490.53,10525.415
"8","pop16",16,16,16,16,51.1012213363498,7.81163100725412,"middle","133",64,297.8832654,5288.763632,807.9236596,63.5,63.5,167725.755,22907.3,72923.55,11601.05,17453.555,510.515,14284.26,8560.755,8417.215,316.835,9251.015
"9","pop17",17,17,17,17,47.7567881964035,9.20872658099793,"Very west","50",69,295,5797.047053,770.6827166,64.5,64.5,511048.08,472212.355,332451.85,74506.265,495801.67,35127.375,18869.015,9550.22,18414.6,1420.475,10821.495
"10","pop18",18,18,18,18,47.4486796195041,5.67305991379544,"Very west","2500",71,300,5838.494449,1124.132481,65.5,65.5,262573.32,84692.46,168418.355,19479.67,32573.72,4616.335,16840.555,12582.435,7833.83,335.29,10944.265
"11","pop19",19,19,19,19,49.2188662573844,3.82501077226177,"less west","270",65,297,5428.183256,785.4211563,66.5,66.5,425661.26,77450.555,215904.17,23792.505,64727.775,5892.135,18838,7396.68,14026.695,503.505,11480.06
"12","pop2",3,3,3,3,48.6512016383447,7.17371253232099,"less west",">5000",69.2432659,295,5809.645576,793.9318082,50.5,50.5,311348.045,80871.27,198370.96,37532.615,56385.855,3787,17313.385,23682.16,20693.81,9623.395,7667.74
"13","pop3",4,4,4,4,47.5604230435099,6.99794813339226,"Very west","194",70,294,5836.540181,733.1897018,51.5,51.5,1103510.995,229104.795,579815.785,147748.585,237770.95,25758.61,36153.94,17532.145,30943.85,1768.235,21973.83
"14","pop4",5,5,5,5,47.8772395402621,3.98580912249908,"Very west","2000",71,299.4432442,5849.11533,1046.359804,52.5,52.5,346916.2,181052.095,451581.35,22738.935,38964.47,7579.56,25704.315,12057.605,13036.185,986.735,9005.425
"15","pop5",1,1,1,1,51.4282424882725,4.50867770092003,"middle","1655",70,294,5845.494013,773.9513594,48.5,48.5,931886.795,147567.895,400939.1,123946.32,178353.42,17390.88,24754.605,23187.58,13941.4,1177.38,13900.57
"16","pop6",6,6,6,6,47.6987517157998,3.76986923786812,"Very west",">5000",69,288,5991.668983,831.3470468,53.5,53.5,590302.365,81614.1,123263.05,64642.325,70774.58,700.89,9901.755,7823.435,10509.235,855.72,8396.425
"17","pop7",7,7,7,7,55.1969713650364,7.87191961878352,"very East","40",65,274,6083.924314,639.6431876,54.5,54.5,263473.1,31823.52,175721.37,18556.795,34821.42,1120.935,21895.83,12434.06,12068.21,314.46,13103.815
"18","pop8",8,8,8,8,48.9582055569924,7.3427868208643,"less west","1000",64,273.8939163,6061.838229,678.2024289,55.5,55.5,40829.005,167356.975,129146.1,2045.69,4840.71,3365.62,13703.865,47275.22,1977.34,231.52,2915.72
"19","pop9",9,9,9,9,47.1512268082853,6.34587065220065,"Very west","870",68,297,5662.270224,882.2958049,56.5,56.5,311348.045,80871.27,198370.96,37532.615,56385.855,3787,17313.385,23682.16,20693.81,9623.395,7667.74
