season,pop,quadrat,fullName,prevNum,num,mark_cell,DNA sample,clusterLength,clusterWidth,nRosettes,nLeaves,lengthLongestLeaf,nInfl,lengthInfl,nSiliques,lengthLongestSilique,comments
spring2022,hjelle,7,hjelle7,,32,3D,,,,1,13,1.7,0,,,,
spring2022,bovra,9,bovra9,,4,P,138,15,9,7,100,6.6,2,10.5,,,
spring2022,smadalen,9,smadalen9,,2,G,118,16,16,20,300,6.5,13,17.5,,,
spring2022,bovra,6,bovra6,,1,2A,,11.5,12,2,85,6,4,14.5,,,
spring2022,laerdal,2,laerdal2,,2,P,,,,1,16,5.6,1,25,,,
spring2022,laerdal,3,laerdal3,,5,4B,,,,1,22,5.6,1,2,,,
spring2022,laerdal,4,laerdal4,,8,2C,,6,4,2,28,5.5,1,9,,,
spring2022,bovra,10,bovra10,,5,4C,,6.5,9.5,2,33,5.5,3,21,,,
spring2022,ardal,1,ardal1,,1,G,61,,,1,46,5.3,3,24,,,
spring2022,bovra,10,bovra10,,1,3A,,12,12.5,12,140,5.3,6,12.5,,,
spring2022,laerdal,9,laerdal9,,8,3B,,15,10.5,8,79,5.2,9,8,,,
spring2022,bovra,8,bovra8,,3,5C,,6.5,7.5,5,49,5.1,2,10,,,
spring2022,laerdal,2,laerdal2,,5,G,3,,,1,38,5,4,40,,,
spring2022,bovra,9,bovra9,,1,G,137,16,15,14,200,5,16,9.5,,,
spring2022,bovra,8,bovra8,,4,G,136,12.5,10,9,62,4.9,3,11,,,
spring2022,bovra,8,bovra8,,2,5B,,10,9.5,6,110,4.9,3,15.5,,,
spring2022,laerdal,2,laerdal2,,3,G,2,3,4.5,3,25,4.8,1,3.5,,,
spring2022,laerdal,2,laerdal2,,4,C3,,8.5,8,2,36,4.8,2,22.5,,,
spring2022,laerdal,2,laerdal2,,1,G,1,2.5,1,2,20,4.7,1,12,,,
spring2022,bovra,1,bovra1,,2,2A,,,,1,20,4.6,0,,,,
spring2022,bovra,1,bovra1,,27,2C,,9,11,6,120,4.6,11,16,,,
spring2022,bovra,7,bovra7,,1,G,,9.5,6,5,36,4.5,3,10,,,
spring2022,bovra,8,bovra8,,1,P,135,6.5,7.4,4,28,4.5,8,20,,,
spring2022,bovra,9,bovra9,,1,3A,,12.5,9.5,7,80,4.5,12,25,,,
spring2022,bovra,10,bovra10,,1,G,139,10.5,10,4,44,4.5,4,23.5,,,
spring2022,laerdal,2,laerdal2,,1,A2,,,,1,28,4.4,2,34,,,
spring2022,laerdal,3,laerdal3,,8,1C,,8,7,3,69,4.4,7,23,,,
spring2022,smadalen,10,smadalen10,,2,G,119,8,9.5,2,54,4.4,0,,,,
spring2022,laerdal,3,laerdal3,,3,G,6,9,4.2,2,43,4.3,5,29,,,
spring2022,bovra,9,bovra9,,2,1B,,9,7,4,27,4.3,8,32,,,
spring2022,laerdal,4,laerdal4,,2,G,,,,1,16,4.2,,,,,
spring2022,spiterstulen,8,spiterstulen8,,1,G,155,13,8,8,150,4.2,28,16,,,
spring2022,laerdal,3,laerdal3,,4,P,,8.2,6.3,3,48,4.1,4,23,,,
spring2022,smadalen,9,smadalen9,,1,1A,,11,9,8,120,4.1,15,11.5,,,
spring2022,spiterstulen,1,spiterstulen1,,4,G,142,15,15.5,8,110,4.1,2,,,,
spring2022,laerdal,2,laerdal2,,4,P,,,,1,22,4,1,9.5,,,
spring2022,laerdal,9,laerdal9,,2,2D,,10,5.5,4,58,4,8,8,,,
spring2022,bovra,7,bovra7,,4,1E,,10.5,7.5,6,69,4,5,18.5,,,
spring2022,bovra,9,bovra9,,3,5E,,,,1,15,4,0,,,,
spring2022,spiterstulen,3,spiterstulen3,,3,P,145,8,1.5,3,54,4,8,21,,,
spring2022,smadalen,10,smadalen10,,3,G,120,12,7.5,4,77,3.9,15,13.5,,,
spring2022,bovra,7,bovra7,,4,G,134,7.5,6,4,60,3.9,9,18.5,,,
spring2022,spiterstulen,6,spiterstulen6,,2,P,,10.5,7.5,6,90,3.9,7,13.5,,,
spring2022,laerdal,10,laerdal10,,4,1A,,,,1,14,3.8,0,,,,
spring2022,saebo,1,saebo1,,3,G,21,,,1,5,3.8,1,14,,,
spring2022,ardal,4,ardal4,,4,3C,68,8,3,3,52,3.8,8,19,,,
spring2022,hjelle,2,hjelle2,,2,P,43,8,5,2,47,3.7,7,2.5,,,
spring2022,ardal,7,ardal7,,1,1A,,,,1,10,3.7,3,36,,,
spring2022,smadalen,10,smadalen10,,1,1D,,6,7.3,2,52,3.7,4,2.5,,,
spring2022,laerdal,4,laerdal4,,1,P,7,3,5,2,22,3.6,5,40,,,
spring2022,ardal,2,ardal2,,1,P,63,6,4,8,87,3.6,7,25,,,
spring2022,ardal,7,ardal7,,3,4B,74,,,3,42,3.6,10,39,,,
spring2022,smadalen,10,smadalen10,,2,4D,,7,9,5,100,3.6,8,16,,,
spring2022,bovra,3,bovra3,,6,5C,,,,1,5,3.6,0,,,,
spring2022,bovra,6,bovra6,,1,P,131,8.5,7,7,130,3.6,7,17,,,
spring2022,spiterstulen,6,spiterstulen6,,1,G,151,5.9,6,2,52,3.6,3,12.5,,,
spring2022,spiterstulen,7,spiterstulen7,,2,3A,,10.5,5.2,9,80,3.6,13,19,,,
spring2022,laerdal,2,laerdal2,,6,P,,6,3,3,43,3.5,7,32,,,
spring2022,laerdal,6,laerdal6,,27,3E,,,,1,17,3.5,1,23,,,
spring2022,laerdal,10,laerdal10,,20,1B,,4.5,3.5,2,20,3.5,3,13,,,
spring2022,hjelle,3,hjelle3,,2,G,45,5.5,4.5,2,26,3.5,8,38,,,
spring2022,ardal,4,ardal4,,1,3B,67,7,5,2,41,3.5,4,12,,,
spring2022,ardal,5,ardal5,,3,G,,7.6,6,2,19,3.5,2,18,,,
spring2022,ardal,6,ardal6,,32,3E,,,,1,15,3.5,0,,,,
spring2022,helin,7,helin7,,4,P,,,,1,16,3.5,3,9.5,,,
spring2022,helin,8,helin8,,4,P,98,6.5,7.5,2,38,3.5,11,15.5,,,
spring2022,bovra,7,bovra7,,2,2C,,8,7,2,48,3.5,3,10,,,
spring2022,bovra,10,bovra10,,2,P,,5,3,2,31,3.5,2,12.5,,,
spring2022,spiterstulen,10,spiterstulen10,,1,P,159,8,6.5,3,34,3.5,2,18.5,,,
spring2022,spiterstulen,10,spiterstulen10,,2,G,,,,1,38,3.5,0,,,,
spring2022,laerdal,3,laerdal3,,7,4D,,7.5,5.5,3,66,3.4,5,6.5,,,
spring2022,laerdal,4,laerdal4,,5,2B,,,,1,29,3.4,1,8,,,
spring2022,laerdal,8,laerdal8,,3,P,,,,1,18,3.4,1,8.2,,,
spring2022,laerdal,9,laerdal9,,1,P,,8,6,3,47,3.4,6,,,,
spring2022,hjelle,4,hjelle4,,2,P,47,7,8,8,102,3.4,12,28,,,
spring2022,ardal,8,ardal8,,3,G,76,4.7,4.4,4,49,3.4,2,19.5,,,
spring2022,bovra,7,bovra7,,1,2A,,8,6,3,50,3.4,6,20,,,
