"pop","No.Inflorescences.plant","Inflorescence.length..cm.","Emerg_per","Aver_w","latitude","longitude","metaPop","popSize","pH","organic.matter","Al","Ca","Fe","K","Mg","P","S","Si","Zn","PO3","NO3","NH4"
"BEEKB",1,53,5,0.001325,52.171,6.014,"NL",66,4.42,3.205,67.225,6332.045,1.965,244.765,1180.005,1.195,473.695,201.24,19.22,0.615,236.03,50.825
"BEEKB",2,57,35,0.00108,52.171,6.014,"NL",66,4.42,3.205,67.225,6332.045,1.965,244.765,1180.005,1.195,473.695,201.24,19.22,0.615,236.03,50.825
"BEEKB",2,30,35,0.00108,52.171,6.014,"NL",66,4.42,3.205,67.225,6332.045,1.965,244.765,1180.005,1.195,473.695,201.24,19.22,0.615,236.03,50.825
"BEEKB",1,43,0,0.001155,52.171,6.014,"NL",66,4.42,3.205,67.225,6332.045,1.965,244.765,1180.005,1.195,473.695,201.24,19.22,0.615,236.03,50.825
"BEEKB",1,45,60,0.000945,52.171,6.014,"NL",66,4.42,3.205,67.225,6332.045,1.965,244.765,1180.005,1.195,473.695,201.24,19.22,0.615,236.03,50.825
"BEEKB",1,42,80,0.0014,52.171,6.014,"NL",66,4.42,3.205,67.225,6332.045,1.965,244.765,1180.005,1.195,473.695,201.24,19.22,0.615,236.03,50.825
"BEEKB",1,30,100,0.001125,52.171,6.014,"NL",66,4.42,3.205,67.225,6332.045,1.965,244.765,1180.005,1.195,473.695,201.24,19.22,0.615,236.03,50.825
"BEEKB",1,30,95,0.001105,52.171,6.014,"NL",66,4.42,3.205,67.225,6332.045,1.965,244.765,1180.005,1.195,473.695,201.24,19.22,0.615,236.03,50.825
"BLAN1",1,63,100,0.00198,50.452,6.619,"Eifel",5000,5.265,10.955,105.935,19719.405,6.7,725.805,4746.925,1.22,140.245,179.615,21.195,0.005,6.87,140.295
"BLAN1",1,51,95,0.001345,50.452,6.619,"Eifel",5000,5.265,10.955,105.935,19719.405,6.7,725.805,4746.925,1.22,140.245,179.615,21.195,0.005,6.87,140.295
"BLAN1",1,43,55,0.001265,50.452,6.619,"Eifel",5000,5.265,10.955,105.935,19719.405,6.7,725.805,4746.925,1.22,140.245,179.615,21.195,0.005,6.87,140.295
"BLAN1",1,39,85,0.001845,50.452,6.619,"Eifel",5000,5.265,10.955,105.935,19719.405,6.7,725.805,4746.925,1.22,140.245,179.615,21.195,0.005,6.87,140.295
"BLAN1",1,67,90,0.00149,50.452,6.619,"Eifel",5000,5.265,10.955,105.935,19719.405,6.7,725.805,4746.925,1.22,140.245,179.615,21.195,0.005,6.87,140.295
"BLAN1",1,51,65,0.001795,50.452,6.619,"Eifel",5000,5.265,10.955,105.935,19719.405,6.7,725.805,4746.925,1.22,140.245,179.615,21.195,0.005,6.87,140.295
"BLAN1",1,43,100,0.001795,50.452,6.619,"Eifel",5000,5.265,10.955,105.935,19719.405,6.7,725.805,4746.925,1.22,140.245,179.615,21.195,0.005,6.87,140.295
