"pop2","pH","humidity_.","organic.matter_.","Al","Ca","Fe","K","Mg","Mn","P","S","Si","Zn","PO3","NO3","NH4","Na","Cl","depth","method"
"pop5",6.87,46.98,22.23,11.69,1343.06,1.47,14.92,291.95,0.81,0,502.75,94.84,2.02,0,188.28,4.85,241.98,31.06,"0-10","water"
"pop1",4.91,19.25,4.34,24.13,449.88,6.68,109.21,139.02,2.08,1.74,499.55,171.29,1.49,0.95,313.59,8.38,1625.69,1275.9,"0-10","water"
"pop2",5.55,18.68,9.33,38.25,196.32,2.91,58.07,30.56,0.1,1.09,107.44,116.4,0.37,0.01,7.06,45,97.81,37.33,"0-10","water"
"pop3",6.45,20.78,10.91,96.99,1213.84,7.93,135.83,168.58,3.61,0,75.63,288.72,3.26,1.34,113.2,98.94,511.08,140.99,"0-10","water"
"pop4",7.36,42.84,10.8,24.59,3336.16,1.69,204.75,69.73,0.03,0.72,295.38,363.35,1.45,7.64,838.07,98.89,128.14,1063.86,"0-10","water"
"pop6",5.95,44.18,15.23,13.43,269.18,4.41,17.22,15.74,0.11,0.46,75.69,93.45,0.74,0,177.22,13.48,174.61,44.35,"0-10","water"
"pop7",4.76,29.48,5.85,105.61,209.18,41.32,104.22,26.55,3.78,1.14,98.62,249.62,1.25,2.94,103.15,37.72,129.06,146.78,"0-10","water"
"pop8",5.66,77.31,72.97,40.79,625.08,13.27,33.48,33.26,0.34,0.52,305.48,77.48,1.22,0.1,284.84,62.17,100.08,177.95,"0-10","water"
"pop9",6.09,56.49,15.3,34.16,1095.99,1.89,398.03,420.02,9.25,0,1367.89,322.87,3.32,0,30.1,59.34,141.09,23.4,"0-10","water"
"pop10",6.69,35.05,12.78,20.16,1048.24,2.99,298.19,512.79,0,3.39,359.99,281.56,49.85,0.38,951.55,31.16,137.66,298.48,"0-10","water"
"pop11",7.74,17.25,7.93,23.29,1518.41,3.17,390.65,423.55,0.28,2.85,40.55,362.4,0.37,0.36,150.87,18.96,82.92,29.23,"0-10","water"
"pop12",5.99,64.1,31.77,14.05,697.98,3.15,27.59,29.96,0.13,0,205.31,137.3,0.34,0,715.7,5.2,144.88,59.31,"0-10","water"
"pop13",6.44,41.78,9.85,26.75,1147.83,10.51,632.54,103.48,0.09,0,497.39,245.61,2.86,0.12,221.5,42.64,644.64,2191.74,"0-10","water"
"pop14",6.03,79.92,65.61,20.08,938.59,12.33,52,108.16,0.93,0,572.52,192.68,1.58,0.62,85.48,17.63,334.25,133.78,"0-10","water"
"pop15",5.74,43.11,12.13,33.67,656.23,17.82,49.38,128.25,1.54,0.34,431.87,431.73,0.99,0,216.76,3.21,652.83,187.66,"0-10","water"
"pop16",5.21,25.73,5.53,44.43,383.32,9.37,23.68,78.35,0.77,0.48,58.38,68.2,1.53,0.54,593.05,4.89,167.39,69.13,"0-10","water"
"pop17",7.38,27.67,8.34,13.59,715.86,2.81,32.75,591.11,0,0.61,47.03,222.15,0.52,0,673.91,28.12,19.35,32.05,"0-10","water"
"pop18",4.89,38.41,8.68,38.55,466.23,9.63,59.48,19.48,2.06,1.1,230.18,100.5,1.43,0,596.51,123.03,114.75,190.14,"0-10","water"
