"StudyArea" "YearsDivided" "Habitat" "lat" "lon"
"1" "Terschelling" "1981 - 2000 " "Saltmarch" 53.40384 5.44057
"2" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.36177 5.20343
"3" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.42677 5.39473
"4" "Terschelling" "1961 - 1980 " "Heathland" 53.38175 5.22942
"5" "Terschelling" "1937 - 1960" "Heathland" 53.40879 5.33458
"6" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.36432 5.20185
"7" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.39071 5.21436
"8" "Terschelling" "1981 - 2000 " "Open water" 53.3998 5.31956
"9" "Terschelling" "1981 - 2000 " "Saltmarch" 53.43574 5.45492
"10" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.4088 5.4248
"11" "Terschelling" "1961 - 1980 " "Marsh" 53.38294 5.21176
"12" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.36383 5.27455
"13" "Terschelling" "2001 - 2013" "Saltmarch" 53.3753 5.29546
"14" "Terschelling" "1937 - 1960" "Marsh" 53.39071 5.21436
"15" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.40564 5.31429
"16" "Terschelling" "1961 - 1980 " "Wet pionier environment" 53.41779 5.39473
"17" "Terschelling" "1981 - 2000 " "Saltmarch" 53.44131 5.5127
"18" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.41779 5.39473
"19" "Terschelling" "2001 - 2013" "Saltmarch" 53.41047 5.43611
"20" "Terschelling" "1937 - 1960" "Heathland" 53.4088 5.34962
"21" "Terschelling" "2001 - 2013" "Saltmarch" 53.40814 5.46824
"22" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.36383 5.27455
"23" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.4088 5.40976
"24" "Terschelling" "1981 - 2000 " "Heathland" 53.37867 5.18413
"25" "Terschelling" "2001 - 2013" "Saltmarch" 53.431 5.45294
"26" "Terschelling" "1981 - 2000 " "Open water" 53.41054 5.32473
"27" "Terschelling" "1981 - 2000 " "Marsh" 53.36373 5.19944
"28" "Terschelling" "1937 - 1960" "Heathland" 53.40875 5.27443
"29" "Terschelling" "1961 - 1980 " "Saltmarch" 53.4088 5.4248
"30" "Terschelling" "1937 - 1960" "Marsh" 53.41018 5.32413
"31" "Terschelling" "1961 - 1980 " "Saltmarch" 53.42676 5.43986
"32" "Terschelling" "1981 - 2000 " "Saltmarch" 53.36373 5.19944
"33" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.40875 5.27443
"34" "Terschelling" "1937 - 1960" "Marsh" 53.41778 5.42481
"35" "Terschelling" "1937 - 1960" "Heathland" 53.4088 5.34962
"36" "Terschelling" "1981 - 2000 " "Wet pionier environment" 53.36373 5.19944
"37" "Terschelling" "1981 - 2000 " "Heathland" 53.39974 5.24439
"38" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.39756 5.27303
"39" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.36245 5.2013
"40" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.43792 5.4802
"41" "Terschelling" "1981 - 2000 " "Saltmarch" 53.36373 5.19944
"42" "Terschelling" "1937 - 1960" "Marsh" 53.39972 5.22935
"43" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.43947 5.48619
"44" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.42098 5.41737
"45" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.41644 5.41353
"46" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.3998 5.31956
"47" "Terschelling" "1937 - 1960" "Heathland" 53.40878 5.30451
"48" "Terschelling" "1937 - 1960" "Heathland" 53.42677 5.42482
"49" "Terschelling" "2001 - 2013" "Grassland (not salty)" 53.41582 5.42921
"50" "Terschelling" "2001 - 2013" "Saltmarch" 53.42811 5.46011
"51" "Terschelling" "1981 - 2000 " "Marsh" 53.38283 5.19944
"52" "Terschelling" "2001 - 2013" "Saltmarch" 53.41607 5.47077
"53" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.39974 5.24439
"54" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.37143 5.18195
"55" "Terschelling" "1937 - 1960" "Dry disturbed environment" 53.40875 5.27443
"56" "Terschelling" "1961 - 1980 " "Marsh" 53.4088 5.34962
"57" "Terschelling" "1937 - 1960" "Wet pionier environment" 53.4088 5.34962
"58" "Terschelling" "1961 - 1980 " "Saltmarch" 53.4088 5.4248
"59" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.41379 5.38503
"60" "Terschelling" "1981 - 2000 " "Saltmarch" 53.44613 5.52689
"61" "Terschelling" "1961 - 1980 " "Heathland" 53.36218 5.19139
"62" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.41779 5.39473
"63" "Terschelling" "1981 - 2000 " "Heathland" 53.41072 5.32728
"64" "Terschelling" "2001 - 2013" "Saltmarch" 53.42975 5.51376
"65" "Terschelling" "1937 - 1960" "Dry disturbed environment" 53.40875 5.27443
"66" "Terschelling" "1937 - 1960" "Marsh" 53.42677 5.42482
"67" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.40201 5.26618
"68" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.42677 5.42482
"69" "Terschelling" "2001 - 2013" "Saltmarch" 53.42461 5.48473
"70" "Terschelling" "1961 - 1980 " "Saltmarch" 53.40875 5.49998
"71" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.4088 5.4248
"72" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.42672 5.50003
"73" "Terschelling" "1981 - 2000 " "Open water" 53.40354 5.33992
"74" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.4088 5.4248
"75" "Terschelling" "1981 - 2000 " "Saltmarch" 53.40875 5.27443
"76" "Terschelling" "1937 - 1960" "Dry disturbed environment" 53.3818 5.2745
"77" "Terschelling" "1937 - 1960" "Heathland" 53.4088 5.40976
"78" "Terschelling" "1937 - 1960" "Marsh" 53.41054 5.32398
"79" "Terschelling" "1981 - 2000 " "Open water" 53.39981 5.33459
