"Pop","lam","source","Country","country","numPop","numCountry","Altitude","CountryAltitude","numAlt","numPairs","numRef","AltitudeNum","Lat","Lon","fullName"
"NO1",0.573939673681019,"prediction","NO","NO",10,3,"high","NO_high",3,5,1,1168,61.04631,8.665528,"Helin"
"NO1",0.72227174782512,"old","NO","NO",10,3,"high","NO_high",3,5,1,1168,61.04631,8.665528,"Helin"
"NO1",1.51192395938668,"new","NO","NO",10,3,"high","NO_high",3,5,1,1168,61.04631,8.665528,"Helin"
"NO2",0.890989896567743,"prediction","NO","NO",11,3,"high","NO_high",3,5,1,1055,61.04981,8.558139,"Smadalen"
"NO2",1.03475467884521,"old","NO","NO",11,3,"high","NO_high",3,5,1,1055,61.04981,8.558139,"Smadalen"
"NO2",1.09848184294865,"new","NO","NO",11,3,"high","NO_high",3,5,1,1055,61.04981,8.558139,"Smadalen"
"NO3",0.793103713771724,"prediction","NO","NO",12,3,"high","NO_high",3,6,1,948,61.65808,8.427139,"Spiterstulen"
"NO3",0.990711214675829,"old","NO","NO",12,3,"high","NO_high",3,6,1,948,61.65808,8.427139,"Spiterstulen"
"NO3",1.04199726302494,"new","NO","NO",12,3,"high","NO_high",3,6,1,948,61.65808,8.427139,"Spiterstulen"
"NO4",0.878154722706737,"prediction","NO","NO",13,3,"high","NO_high",3,6,1,499,61.77008,8.419111,"Bovra"
"NO4",0.95601050429112,"old","NO","NO",13,3,"high","NO_high",3,6,1,499,61.77008,8.419111,"Bovra"
"NO4",0.655339993151658,"new","NO","NO",13,3,"high","NO_high",3,6,1,499,61.77008,8.419111,"Bovra"
"NO5",0.919787860074216,"prediction","NO","NO",14,3,"low","NO_low",4,7,1,165,61.36083,7.9,"Hjelle"
"NO5",1.05134914133001,"old","NO","NO",14,3,"low","NO_low",4,7,1,165,61.36083,7.9,"Hjelle"
"NO5",1.02269239255124,"new","NO","NO",14,3,"low","NO_low",4,7,1,165,61.36083,7.9,"Hjelle"
"NO6",1.01854394475247,"prediction","NO","NO",15,3,"low","NO_low",4,7,1,71,61.32528,7.856944,"Ardal"
"NO6",1.13471975930218,"old","NO","NO",15,3,"low","NO_low",4,7,1,71,61.32528,7.856944,"Ardal"
"NO6",0.929709838341479,"new","NO","NO",15,3,"low","NO_low",4,7,1,71,61.32528,7.856944,"Ardal"
"NO7",0.65804755178778,"prediction","NO","NO",16,3,"low","NO_low",4,8,1,24,61.10336,7.421806,"Saebo"
"NO7",0.787312834501342,"old","NO","NO",16,3,"low","NO_low",4,8,1,24,61.10336,7.421806,"Saebo"
"NO7",0.978828998769745,"new","NO","NO",16,3,"low","NO_low",4,8,1,24,61.10336,7.421806,"Saebo"
"NO8",0.585618300060373,"prediction","NO","NO",17,3,"low","NO_low",4,8,1,23,61.08472,7.519833,"Laerdal"
"NO8",0.675838912912585,"old","NO","NO",17,3,"low","NO_low",4,8,1,23,61.08472,7.519833,"Laerdal"
"NO8",0.613456201303387,"new","NO","NO",17,3,"low","NO_low",4,8,1,23,61.08472,7.519833,"Laerdal"
